,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,optk_X_gap_max,optk_X_gap_Tib,optk_X_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
60,D:\Z - Saved SQL Databases\44OP-168475_UT_Townes_Hall_HVAC_Proj_Ph_2\JobDB.mdf,7.0,14,2.0,29.0,27,2.0,9.0,108.0,0.0,0.0,92.0,16.0,0.0,0.0,0.0
61,D:\Z - Saved SQL Databases\44OP-150108_TAMUHSC_MRB_MBC_FF\JobDB.mdf,40.0,29,3.0,67.0,20,3.0,3.0,435.0,412.0,9.0,14.0,0.0,0.0,0.0,0.0
62,D:\Z - Saved SQL Databases\44OP-146257_Baylor_Track\JobDB.mdf,27.0,14,1.0,32.0,12,1.0,3.0,33.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
63,D:\Z - Saved SQL Databases\44OP-149430-TFC_JHW_Monitor_DC\JobDB.mdf,86.0,69,4.0,105.0,101,4.0,6.0,295.0,10.0,0.0,87.0,175.0,23.0,0.0,0.0
64,D:\Z - Saved SQL Databases\44OP-154286_Intel_AN4_Data_Center\JobDB.mdf,29.0,19,3.0,54.0,35,3.0,6.0,66.0,0.0,0.0,18.0,43.0,5.0,0.0,0.0
65,D:\Z - Saved SQL Databases\44OP-166628_Baylor_BRIC_Dr_Birkeland\JobDB.mdf,3.0,6,4.0,19.0,13,2.0,2.0,58.0,0.0,0.0,47.0,11.0,0.0,0.0,0.0
66,D:\Z - Saved SQL Databases\44OP-170871_SDMC_MRI_Addition\JobDB.mdf,1.0,1,1.0,3.0,1,1.0,3.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
67,D:\Z - Saved SQL Databases\44OP-147230_TFC_WBT_and_SFA\JobDB.mdf,66.0,46,3.0,79.0,67,3.0,3.0,272.0,2.0,1.0,260.0,9.0,0.0,0.0,0.0
68,D:\Z - Saved SQL Databases\44OP-159849 UT EERC-ECJ 2nd Flr\JobDB.mdf,39.0,20,1.0,44.0,23,1.0,2.0,61.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0
69,D:\Z - Saved SQL Databases\44OP-151233_SAMC_Pharmacy_Reno\JobDB.mdf,8.0,4,1.0,13.0,3,1.0,3.0,32.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0
70,D:\Z - Saved SQL Databases\44OP-159998CHASE\JobDB.mdf,69.0,41,8.0,106.0,79,7.0,7.0,225.0,27.0,18.0,141.0,22.0,4.0,11.0,2.0
71,D:\Z - Saved SQL Databases\44OP-075294 SAMC New Const Ph 3 4 5\JobDB.mdf,4.0,7,1.0,12.0,7,1.0,7.0,138.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0
72,D:\Z - Saved SQL Databases\44OP-080108_Austin_Treasury\JobDB.mdf,7.0,16,2.0,25.0,10,2.0,10.0,102.0,14.0,0.0,88.0,0.0,0.0,0.0,0.0
73,D:\Z - Saved SQL Databases\44OP-148387_BU_FORMAN_LAB\JobDB.mdf,6.0,5,2.0,26.0,10,2.0,4.0,40.0,0.0,0.0,22.0,18.0,0.0,0.0,0.0
74,D:\Z - Saved SQL Databases\44OP-154681_Baylor_BRIC_OAHU_E2\JobDB.mdf,87.0,95,6.0,104.0,97,5.0,5.0,816.0,2.0,5.0,529.0,276.0,4.0,0.0,0.0
75,D:\Z - Saved SQL Databases\44OP-120702_Seton_HL_Nuclear\JobDB.mdf,1.0,1,1.0,1.0,1,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
76,D:\Z - Saved SQL Databases\44OP-112425_East_Village_North\JobDB.mdf,27.0,35,3.0,49.0,38,3.0,6.0,151.0,0.0,2.0,133.0,16.0,0.0,0.0,0.0
77,D:\Z - Saved SQL Databases\44OP-159849 EERC\JobDB.mdf,290.0,198,4.0,314.0,292,4.0,5.0,2294.0,0.0,1.0,968.0,1149.0,124.0,52.0,0.0
78,D:\Z - Saved SQL Databases\44OP-162206_MCC_CSC_Module_E_Chiller\JobDB.mdf,2.0,1,1.0,5.0,2,1.0,4.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
79,D:\Z - Saved SQL Databases\44OP-135704_BU_South_Russell\JobDB.mdf,24.0,7,2.0,36.0,11,2.0,2.0,156.0,0.0,5.0,150.0,1.0,0.0,0.0,0.0
