,DBPath,correct_k,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7,optk_TSNE_gap_max,optk_TSNE_gap_Tib,optk_TSNE_gap*_max
75,D:\Z - Saved SQL Databases\44OP-120702_Seton_HL_Nuclear\JobDB.mdf,1,2,0,0,2,0,0,0,0,2,2,2
76,D:\Z - Saved SQL Databases\44OP-112425_East_Village_North\JobDB.mdf,27,151,0,2,133,16,0,0,0,29,1,33
77,D:\Z - Saved SQL Databases\44OP-159849 EERC\JobDB.mdf,290,2294,0,1,968,1149,124,52,0,206,1,296
78,D:\Z - Saved SQL Databases\44OP-162206_MCC_CSC_Module_E_Chiller\JobDB.mdf,2,7,0,0,7,0,0,0,0,0,0,0
79,D:\Z - Saved SQL Databases\44OP-135704_BU_South_Russell\JobDB.mdf,24,156,0,5,150,1,0,0,0,30,1,30
80,D:\Z - Saved SQL Databases\44OP-129261_100_Congress_Central_Plant_Upgrade\JobDB.mdf,31,269,108,1,0,152,8,0,0,37,1,37
81,D:\Z - Saved SQL Databases\44OP-159849 EERC-CHASE\JobDB.mdf,5,3266,0,18,1519,1286,310,133,0,12,1,14
82,D:\Z - Saved SQL Databases\44OP-162224_MCC_CSC_Module_A_RTU\JobDB.mdf,11,193,0,0,173,20,0,0,0,20,1,20
83,D:\Z - Saved SQL Databases\44OP-171494_Baylor_BRIC_Dr_Rylander\JobDB.mdf,157,7904,771,89,4125,2671,218,30,0,166,1,166
84,D:\Z - Saved SQL Databases\44OP-106650_SETON_NW_OR\JobDB.mdf,9,88,0,0,86,2,0,0,0,5,1,18
85,D:\Z - Saved SQL Databases\44OP-156522_TxDOT_Acid_Hood\JobDB.mdf,35,77,0,0,0,40,37,0,0,20,1,43
86,D:\Z - Saved SQL Databases\44OP-159998 HMSL Expansion BP1\JobDB.mdf,41,433,70,5,285,73,0,0,0,43,1,43
87,D:\Z - Saved SQL Databases\44OP-166320_TXSU_MSH\JobDB.mdf,32,257,0,2,249,6,0,0,0,30,1,36
88,D:\Z - Saved SQL Databases\44OP-164908_UT_Dell_Medical_School_Research_Building\JobDB.mdf,37,241,0,0,149,62,30,0,0,44,1,44
89,D:\Z - Saved SQL Databases\44OP-156536_BU_North_Russell\JobDB.mdf,42,197,0,5,192,0,0,0,0,47,1,47
90,D:\Z - Saved SQL Databases\44OP-140409_SAMC_BMT_Oncology\JobDB.mdf,7,81,0,0,0,81,0,0,0,1,1,15
91,D:\Z - Saved SQL Databases\44OP-148596_UT_Townes_Hall\JobDB.mdf,17,150,0,2,145,3,0,0,0,25,1,25
92,D:\Z - Saved SQL Databases\44OP-170036_UT_Townes_Hall_HVAC_Proj_Ph_2\JobDB.mdf,8,96,0,0,88,8,0,0,0,2,1,17
93,D:\Z - Saved SQL Databases\44OP-149635_Baylor_Migrations\JobDB.mdf,16,90,0,1,70,19,0,0,0,19,1,24
94,D:\Z - Saved SQL Databases\44OP-136475_UT_HRC\JobDB.mdf,31,190,0,0,178,12,0,0,0,39,1,39
95,D:\Z - Saved SQL Databases\44OP-167712_Block_23_Greenwater_Office_Bldg\JobDB.mdf,64,368,1,2,342,19,4,0,0,67,1,67
96,D:\Z - Saved SQL Databases\44OP-159393_SDMC_32nd_PH_5\JobDB.mdf,1,27,0,0,27,0,0,0,0,9,1,10
97,D:\Z - Saved SQL Databases\44OP-138815_TXSU_CoGen_Plant_BAS_Mods\JobDB.mdf,61,445,0,4,388,48,5,0,0,66,1,66
98,D:\Z - Saved SQL Databases\44OP-127491_MCC_CSC_BLDG_F\JobDB.mdf,6,14,0,0,14,0,0,0,0,0,0,0
99,D:\Z - Saved SQL Databases\44OP-132975_TFC_Rudder_Building\JobDB.mdf,13,107,0,2,104,1,0,0,0,15,1,20
100,D:\Z - Saved SQL Databases\44OP-150007_Cirrus_Logic_Ph2\JobDB.mdf,12,48,0,2,35,11,0,0,0,16,1,21
101,D:\Z - Saved SQL Databases\44OP-181789_TXSU_MCS\JobDB.mdf,7,166,0,2,45,119,0,0,0,16,1,16
102,D:\Z - Saved SQL Databases\44OP-198461_TXSU_Lantana CHW\JobDB.mdf,4,17,0,0,2,15,0,0,0,0,0,0
103,D:\Z - Saved SQL Databases\44OP-197274_TXSU_Ag_Bldg\JobDB.mdf,2,5,0,0,0,5,0,0,0,0,0,0
104,D:\Z - Saved SQL Databases\44OP-181323_Sabinal_Renovation\JobDB.mdf,12,146,0,2,54,90,0,0,0,21,1,21
105,D:\Z - Saved SQL Databases\44OP-176407_TFC_DSHS_LAB_MBC_29_VFDS_AHU_2\JobDB.mdf,15,115,0,0,19,88,8,0,0,1,1,24
106,D:\Z - Saved SQL Databases\44OP-179696_TXSU_Star_One_Addition\JobDB.mdf,45,95,0,0,94,1,0,0,0,22,1,54
107,D:\Z - Saved SQL Databases\44OP-173327_Baylor_Memorial_Dorm_Dining_Hall\JobDB.mdf,10,115,0,0,87,28,0,0,0,16,1,16
108,D:\Z - Saved SQL Databases\44OP-185054_Baylor_Old_Main\JobDB.mdf,5,126,0,0,49,77,0,0,0,8,1,8
109,D:\Z - Saved SQL Databases\44OP-176715_Seton\JobDB.mdf,807,807,0,0,807,0,0,0,0,0,0,0
110,D:\Z - Saved SQL Databases\44OP-178936_ACC_Bond_Service_Center_Controls\JobDB.mdf,9,10,0,0,10,0,0,0,0,0,0,0
111,D:\Z - Saved SQL Databases\44OP-172850_RRMC_Hybrid_OR\JobDB.mdf,2,14,0,0,0,14,0,0,0,0,0,0
112,D:\Z - Saved SQL Databases\44OP-196125_TXSU_Strahan_AHU11\JobDB.mdf,1,29,0,0,16,13,0,0,0,9,1,10
113,D:\Z - Saved SQL Databases\44OP-208597_ACC_Leander_Campus\JobDB.mdf,152,719,0,0,0,622,97,0,0,43,1,161
114,D:\Z - Saved SQL Databases\44OP-186227_Baylor_Hankamer\JobDB.mdf,37,232,0,2,218,12,0,0,0,36,1,43
115,D:\Z - Saved SQL Databases\44OP-195316_SAMC_3rd Floor PH_2_Renovation\JobDB.mdf,9,59,0,1,7,41,10,0,0,8,1,18
116,D:\Z - Saved SQL Databases\44OP-209545_TFC_LBJ_AHU_Repl_DM2016\JobDB.mdf,46,723,0,2,663,58,0,0,0,28,1,55
117,D:\Z - Saved SQL Databases\44OP-176796_Solarwinds_Ph_2\JobDB.mdf,4,24,0,0,24,0,0,0,0,13,1,13
118,D:\Z - Saved SQL Databases\44OP-183291_SAMC_Flr_3_Reno_Ph_1\JobDB.mdf,8,52,0,1,2,39,10,0,0,11,1,17
119,D:\Z - Saved SQL Databases\44OP-190047_TFC_Hobby\JobDB.mdf,24,167,0,0,4,151,12,0,0,33,1,33
120,D:\Z - Saved SQL Databases\44OP-175920_UT_BME_Dr_Peppas_Lab\JobDB.mdf,52,157,0,0,56,99,2,0,0,58,1,58
121,D:\Z - Saved SQL Databases\44OP-207960_TXSU_LBJ_Student_Center_Reno\JobDB.mdf,104,1533,1,4,1176,349,3,0,0,29,1,113
122,D:\Z - Saved SQL Databases\44OP-199631_TXSU_Retama_Hall_Reno\JobDB.mdf,23,116,0,0,110,6,0,0,0,1,1,32
123,D:\Z - Saved SQL Databases\44OP-210011_BRIC_Dr_Kim_Clean_Rm\JobDB.mdf,11,130,0,0,105,25,0,0,0,19,1,19
124,D:\Z - Saved SQL Databases\44OP-194853_MCC_Highland_Gym\JobDB.mdf,2,2,0,0,2,0,0,0,0,2,2,2
125,D:\Z - Saved SQL Databases\44OP-197274 TXSU Ag Bldg Rm 225\JobDB.mdf,2,5,0,0,0,5,0,0,0,0,0,0
126,D:\Z - Saved SQL Databases\44OP-173377_TFC_IAQ_P35-E\JobDB.mdf,12,33,0,0,9,24,0,0,0,17,1,19
127,D:\Z - Saved SQL Databases\44OP-175775_CCMC_Doctors_Regional\JobDB.mdf,6,133,0,115,18,0,0,0,0,14,1,14
128,D:\Z - Saved SQL Databases\44OP-173466_TFC_IAQ_DSHS_DHT\JobDB.mdf,5,39,0,0,3,36,0,0,0,14,1,14
129,D:\Z - Saved SQL Databases\44OP-200081_Intel_AN4C_3A\JobDB.mdf,1,14,0,0,0,14,0,0,0,0,0,0
130,D:\Z - Saved SQL Databases\44OP-180310_SAMC_OR_Expansion\JobDB.mdf,6,99,0,0,46,48,5,0,0,5,1,15
131,D:\Z - Saved SQL Databases\44OP-197265_Baylor_Martin_Dorm\JobDB.mdf,18,144,0,2,137,5,0,0,0,24,1,27
132,D:\Z - Saved SQL Databases\44OP-180163_Baylor_Penland_Dining_RTU2\JobDB.mdf,3,49,0,0,49,0,0,0,0,2,1,12
133,D:\Z - Saved SQL Databases\44OP-187918_UT_TNH_HVAC_Proj_Ph_3\JobDB.mdf,7,114,0,0,95,16,3,0,0,14,1,14
134,D:\Z - Saved SQL Databases\44OP-209898 Deloitte 15_16 Floor\JobDB.mdf,3,12,1,0,0,11,0,0,0,0,0,0
135,D:\Z - Saved SQL Databases\44OP-182498_TXSU_Alkek\JobDB.mdf,4,4,0,0,4,0,0,0,0,4,1,4
136,D:\Z - Saved SQL Databases\44OP-184168_TFC_TCEQ_Park_35\JobDB.mdf,25,91,0,0,0,91,0,0,0,3,1,34
137,D:\Z - Saved SQL Databases\44OP-190124_TFC_DHOP_Central_Plant\JobDB.mdf,45,328,84,1,164,79,0,0,0,33,1,46
138,D:\Z - Saved SQL Databases\44OP-195514_Seton_HL_Surgery_Reno\JobDB.mdf,5,98,0,0,78,20,0,0,0,3,1,14
139,D:\Z - Saved SQL Databases\44OP-179185_ACC_Highland_Reno\JobDB.mdf,22,44,0,2,34,8,0,0,0,23,1,23
140,D:\Z - Saved SQL Databases\44OP-211276_TXSU_UEC_Strahan\JobDB.mdf,128,368,11,6,0,0,0,836,,53,1,57
141,D:\Z - Saved SQL Databases\44OP-207233_SAMC_ED\JobDB.mdf,8,7,0,0,0,0,0,44,,8,1,10
142,D:\Z - Saved SQL Databases\44OP-173378_TFC_IAQ_P35-D\JobDB.mdf,15,9,0,0,0,0,0,41,,15,1,21
143,D:\Z - Saved SQL Databases\44OP-195448_UTRGV_BV_Academic\JobDB.mdf,58,18,0,0,0,0,0,217,,43,1,43
144,D:\Z - Saved SQL Databases\44OP-190763_TXSU_Strahan_AHU12\JobDB.mdf,9,11,0,0,0,0,0,27,,8,1,10
145,D:\Z - Saved SQL Databases\44OP-208376_TFC_WBT_DM_2016\JobDB.mdf,128,64,1,140,2,17,0,946,,76,1,121
146,D:\Z - Saved SQL Databases\44OP-183382_INS_ANNEX\JobDB.mdf,11,2,0,0,0,0,0,29,,9,1,20
147,D:\Z - Saved SQL Databases\44OP-173714_Baylor_Penland_Dorm_Renovation\JobDB.mdf,39,26,2,0,0,0,0,179,,20,1,21
148,D:\Z - Saved SQL Databases\44OP-191435_BRIC_Olafsun_Lab\JobDB.mdf,11,1,0,0,0,0,0,11,,0,0,0
149,D:\Z - Saved SQL Databases\44OP-191465_WPC_Migration\JobDB.mdf,47,8,0,0,0,0,0,103,,1,1,42
150,D:\Z - Saved SQL Databases\44OP-200068_500_W_2nd-Google_Gates\JobDB.mdf,13,2,2,0,0,0,0,32,,15,1,17
151,D:\Z - Saved SQL Databases\44OP-185055_TFC_LBJ_4th_Reno\JobDB.mdf,9,5,0,0,0,0,0,39,,9,1,9
152,D:\Z - Saved SQL Databases\44OP-206348 Trammel Crow\JobDB.mdf,2,1,0,0,0,0,0,16,,0,0,0
153,D:\Z - Saved SQL Databases\44OP-172014_Bell_County_FF\JobDB.mdf,154,228,2,0,0,0,0,431,,140,1,199
154,D:\Z - Saved SQL Databases\44OP-189155_S&W_RR_MRI\JobDB.mdf,9,0,0,0,0,0,0,17,,0,0,0
155,D:\Z - Saved SQL Databases\44OP-177481_FROST_PILLSBURY\JobDB.mdf,5,3,0,0,0,0,0,5,,0,0,0
156,D:\Z - Saved SQL Databases\44OP-173487_TFC_IAQ_DSHS_RBB\JobDB.mdf,9,2,2,0,0,0,0,40,,10,1,14
157,D:\Z - Saved SQL Databases\44OP-198971_REJ_Boiler_Plant\JobDB.mdf,24,5,0,0,0,0,0,50,,20,1,20
158,D:\Z - Saved SQL Databases\44OP-172418_College Inn & Tower\JobDB.mdf,10,4,0,0,0,0,0,10,,0,0,0
159,D:\Z - Saved SQL Databases\44OP-183355_MCC_CSC_Module_C_RTU_AAON\JobDB.mdf,17,98,0,0,0,0,0,119,,12,1,16
160,D:\Z - Saved SQL Databases\44OP-193232_Baylor_Mary_Gibbs\JobDB.mdf,10,31,0,0,0,0,0,33,,12,1,12
161,D:\Z - Saved SQL Databases\44OP-208376_TFC_WBT_AHU_REPLACEMENT\JobDB.mdf,126,151,153,2,1,0,0,1145,,86,1,111
162,D:\Z - Saved SQL Databases\44OP-190812_UT_Bio\JobDB.mdf,39,105,4,0,0,0,0,116,,17,1,39
163,D:\Z - Saved SQL Databases\44OP-180454_TFC_WPC_OA_Units\JobDB.mdf,46,254,1,0,0,0,0,322,,56,1,74
164,D:\Z - Saved SQL Databases\44OP-173492_TFC_IAQ_DSHS_DHR\JobDB.mdf,7,0,0,0,0,0,0,60,,2,1,13
165,D:\Z - Saved SQL Databases\44OP-207921_Oracle_Waterfront\JobDB.mdf,112,82,32,574,0,0,0,1434,,14,1,266
166,D:\Z - Saved SQL Databases\44OP-179186_TFC_REJ\JobDB.mdf,116,84,1,2,0,0,0,870,,0,0,0
167,D:\Z - Saved SQL Databases\44OP-172954_SDMC_ICU_Vertical_Exp\JobDB.mdf,110,175,93,6,3,0,0,360,,60,1,94
168,D:\Z - Saved SQL Databases\44OP-173014_Austin_Convention_Center\JobDB.mdf,18,35,0,0,0,0,0,56,,1,1,18
169,D:\Z - Saved SQL Databases\44OP-180791_Baylor_BEC_Chiller_8_and_CT\JobDB.mdf,32,8,0,0,0,0,0,185,,0,0,0
170,D:\Z - Saved SQL Databases\44OP-172905_SDGH_ICU_Renovation\JobDB.mdf,41,1,22,0,0,0,0,147,,22,1,23
171,D:\Z - Saved SQL Databases\44OP-200068_500_W_2nd-Google_Gates Jamie Original\JobDB.mdf,3,0,0,0,0,0,0,3,,3,3,3
172,D:\Z - Saved SQL Databases\44OP-201622_TXSU_Library_Repository\JobDB.mdf,16,4,0,0,0,0,0,122,,28,1,28
173,D:\Z - Saved SQL Databases\44OP-214947_TFC_WPC_Elevator_DM\JobDB.mdf,67,138,9,2,0,0,0,227,,58,1,62
174,D:\Z - Saved SQL Databases\44OP-214804_ACC_Elgin_Vet_&_Ag\JobDB.mdf,15,5,1,0,0,0,0,15,,0,0,0
175,D:\Z - Saved SQL Databases\44OP-240717_100_Congress_AHUReplacement\JobDB.mdf,15,0,0,0,0,0,0,120,,0,0,0
176,D:\Z - Saved SQL Databases\44OP-227505_TFC_A600_Bio_Threat\JobDB.mdf,28,2,0,0,0,0,0,51,,21,1,33
177,D:\Z - Saved SQL Databases\44OP-232081 DSMCUT Bronchoscopy\JobDB.mdf,2,0,0,0,0,0,0,47,,0,0,0
178,D:\Z - Saved SQL Databases\44OP-224784_515_Congress_Lobby\JobDB.mdf,1,0,0,0,0,0,0,14,,0,0,0
179,D:\Z - Saved SQL Databases\44OP-224013_TFC_REJ_Central_Plant\JobDB.mdf,28,0,0,0,0,0,0,126,,0,0,0
180,D:\Z - Saved SQL Databases\44OP-252830 TXSU Supple Science Rm 112_116\JobDB.mdf,5,0,0,0,0,0,0,5,,0,0,0
181,D:\Z - Saved SQL Databases\44OP-262004_ATT_Homestead_NLoop\JobDB.mdf,55,97,16,4,0,0,0,132,,0,0,0
182,D:\Z - Saved SQL Databases\44OP-231531 St_Davids_32nd_South_Vertical Expansion\JobDB.mdf,48,94,1,4,0,0,0,211,,23,1,23
183,D:\Z - Saved SQL Databases\44OP-244931_DSMCUT_Ambulance_Bay\JobDB.mdf,35,34,2,0,0,0,0,42,,23,1,23
