,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,optk_X_gap_max,optk_X_gap_Tib,optk_X_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
31,D:\Z - Saved SQL Databases\44OP-146488_TFC_DSHS_A600_Labs_Ph3\JobDB.mdf,16.0,11.0,3.0,30.0,26.0,3.0,5.0,34.0,5.0,0.0,1.0,28.0,0.0,0.0,0.0
32,D:\Z - Saved SQL Databases\44OP-140618_TAMU_CC_Dining_Hall\JobDB.mdf,2.0,3.0,2.0,5.0,3.0,2.0,2.0,31.0,15.0,0.0,16.0,0.0,0.0,0.0,0.0
33,D:\Z - Saved SQL Databases\44OP-154233_BU_Penland_Hall_Dining\JobDB.mdf,47.0,34.0,5.0,59.0,25.0,5.0,4.0,177.0,3.0,1.0,171.0,2.0,0.0,0.0,0.0
34,D:\Z - Saved SQL Databases\44OP-155245_BRIC_Region_12_ESC\JobDB.mdf,81.0,93.0,7.0,108.0,97.0,6.0,8.0,768.0,2.0,5.0,500.0,257.0,4.0,0.0,0.0
35,D:\Z - Saved SQL Databases\44OP-124719_TAMU_Library\JobDB.mdf,40.0,40.0,4.0,76.0,67.0,4.0,4.0,307.0,22.0,1.0,280.0,4.0,0.0,0.0,0.0
36,D:\Z - Saved SQL Databases\44OP-159998 Jamie\JobDB.mdf,47.0,68.0,4.0,167.0,83.0,4.0,5.0,433.0,70.0,5.0,285.0,73.0,0.0,0.0,0.0
37,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research\JobDB.mdf,31.0,23.0,1.0,40.0,33.0,1.0,1.0,159.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0
38,D:\Z - Saved SQL Databases\44OP-171481_100_Congress_Civitas\JobDB.mdf,3.0,9.0,1.0,11.0,2.0,1.0,2.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0
39,D:\Z - Saved SQL Databases\44OP-127929_Baylor_Planters_House\JobDB.mdf,1.0,9.0,1.0,9.0,9.0,1.0,9.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
40,D:\Z - Saved SQL Databases\44OP-168489_Baylor_Fast_Forward\JobDB.mdf,123.0,134.0,5.0,158.0,123.0,5.0,11.0,716.0,33.0,35.0,241.0,399.0,8.0,0.0,0.0
41,D:\Z - Saved SQL Databases\44OP-117216_UMHB_Stadium\JobDB.mdf,75.0,51.0,4.0,91.0,82.0,4.0,8.0,409.0,1.0,1.0,328.0,79.0,0.0,0.0,0.0
42,D:\Z - Saved SQL Databases\44OP-148606_BU_RANEY_SMITH\JobDB.mdf,15.0,29.0,2.0,33.0,27.0,2.0,3.0,50.0,0.0,0.0,11.0,39.0,0.0,0.0,0.0
43,D:\Z - Saved SQL Databases\44OP-170006_TXSU_Jones_Dining_Hall_Reno\JobDB.mdf,39.0,32.0,3.0,52.0,41.0,3.0,5.0,152.0,0.0,4.0,147.0,1.0,0.0,0.0,0.0
44,D:\Z - Saved SQL Databases\44OP-169562_Prudential_Overall_Supply\JobDB.mdf,1.0,10.0,1.0,10.0,1.0,1.0,1.0,307.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0
45,D:\Z - Saved SQL Databases\44OP-158160_Baylor_Armstrong_Browning_AHU\JobDB.mdf,2.0,3.0,2.0,22.0,2.0,2.0,2.0,35.0,13.0,0.0,22.0,0.0,0.0,0.0,0.0
46,D:\Z - Saved SQL Databases\44OP-167838_Baylor_Athletic_Nutrition\JobDB.mdf,25.0,34.0,2.0,34.0,34.0,2.0,2.0,34.0,0.0,5.0,29.0,0.0,0.0,0.0,0.0
47,D:\Z - Saved SQL Databases\44OP-159356_TSC_ITECC\JobDB.mdf,4.0,4.0,1.0,13.0,5.0,1.0,5.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
48,D:\Z - Saved SQL Databases\44OP-145864_SDMC_32nd_AHU_Replacement\JobDB.mdf,3.0,7.0,1.0,12.0,6.0,1.0,3.0,58.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0
49,D:\Z - Saved SQL Databases\44OP-138488_TFC_LBJ_DMP_Phase_1\JobDB.mdf,16.0,13.0,1.0,25.0,21.0,1.0,9.0,312.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0
50,D:\Z - Saved SQL Databases\44OP-167901_Intel_AN4_3B\JobDB.mdf,4.0,15.0,2.0,17.0,15.0,2.0,4.0,44.0,0.0,0.0,0.0,40.0,4.0,0.0,0.0
51,D:\Z - Saved SQL Databases\44OP-123360_S&W_POB\JobDB.mdf,18.0,12.0,3.0,27.0,28.0,3.0,9.0,179.0,0.0,2.0,177.0,0.0,0.0,0.0,0.0
52,D:\Z - Saved SQL Databases\44OP-087407_UT_LIBERAL_ARTS\JobDB.mdf,23.0,43.0,3.0,65.0,55.0,3.0,6.0,430.0,0.0,4.0,370.0,56.0,0.0,0.0,0.0
